Starting new receiver log.

Received at 1705623470.0875223: Sent at 1705623470.087049, Delay: 0.00047326087951660156 seconds, Priority: low

Received at 1705623470.1224234: Sent at 1705623470.122067, Delay: 0.00035643577575683594 seconds, Priority: high

Received at 1705623470.1880422: Sent at 1705623470.1877058, Delay: 0.0003364086151123047 seconds, Priority: low

Received at 1705623470.2889538: Sent at 1705623470.2882771, Delay: 0.0006766319274902344 seconds, Priority: low

Received at 1705623470.3895764: Sent at 1705623470.389254, Delay: 0.0003223419189453125 seconds, Priority: low

Received at 1705623470.4900925: Sent at 1705623470.4897518, Delay: 0.0003407001495361328 seconds, Priority: low

Received at 1705623470.5905886: Sent at 1705623470.590281, Delay: 0.0003075599670410156 seconds, Priority: low

Received at 1705623470.6910727: Sent at 1705623470.6907337, Delay: 0.0003390312194824219 seconds, Priority: low

Received at 1705623470.7914562: Sent at 1705623470.7912257, Delay: 0.00023055076599121094 seconds, Priority: low

Received at 1705623470.8919876: Sent at 1705623470.8916743, Delay: 0.0003132820129394531 seconds, Priority: low

Received at 1705623470.9924898: Sent at 1705623470.9921732, Delay: 0.000316619873046875 seconds, Priority: low

Received at 1705623471.09304: Sent at 1705623471.0927432, Delay: 0.0002968311309814453 seconds, Priority: low

Received at 1705623471.1239352: Sent at 1705623471.1235597, Delay: 0.00037550926208496094 seconds, Priority: high

Received at 1705623471.1937318: Sent at 1705623471.1932395, Delay: 0.0004923343658447266 seconds, Priority: low

Received at 1705623471.2944949: Sent at 1705623471.294014, Delay: 0.00048089027404785156 seconds, Priority: low

Received at 1705623471.395513: Sent at 1705623471.3947568, Delay: 0.0007562637329101562 seconds, Priority: low

Received at 1705623471.4961917: Sent at 1705623471.495891, Delay: 0.0003006458282470703 seconds, Priority: low

Received at 1705623471.5970364: Sent at 1705623471.5964167, Delay: 0.0006196498870849609 seconds, Priority: low

Received at 1705623471.6981096: Sent at 1705623471.697369, Delay: 0.0007405281066894531 seconds, Priority: low

Received at 1705623471.7990348: Sent at 1705623471.7984366, Delay: 0.0005981922149658203 seconds, Priority: low

Received at 1705623471.8999038: Sent at 1705623471.8993568, Delay: 0.0005469322204589844 seconds, Priority: low

Received at 1705623472.001049: Sent at 1705623472.000222, Delay: 0.0008270740509033203 seconds, Priority: low

Received at 1705623472.1023617: Sent at 1705623472.1014485, Delay: 0.0009131431579589844 seconds, Priority: low

Received at 1705623472.1260672: Sent at 1705623472.1251602, Delay: 0.0009069442749023438 seconds, Priority: high

Received at 1705623472.2037213: Sent at 1705623472.2028184, Delay: 0.0009028911590576172 seconds, Priority: low

Received at 1705623472.3043692: Sent at 1705623472.3040736, Delay: 0.0002956390380859375 seconds, Priority: low

Received at 1705623472.405086: Sent at 1705623472.40456, Delay: 0.0005259513854980469 seconds, Priority: low

Received at 1705623472.506301: Sent at 1705623472.505408, Delay: 0.0008928775787353516 seconds, Priority: low

Received at 1705623472.6076202: Sent at 1705623472.6067228, Delay: 0.0008974075317382812 seconds, Priority: low

Received at 1705623472.70864: Sent at 1705623472.7080393, Delay: 0.0006008148193359375 seconds, Priority: low

Received at 1705623472.8095634: Sent at 1705623472.809009, Delay: 0.0005543231964111328 seconds, Priority: low

Received at 1705623472.9101975: Sent at 1705623472.9098778, Delay: 0.0003197193145751953 seconds, Priority: low

